filename,width,height,class,xmin,ymin,xmax,ymax
66112_00_m_1.jpg,2988,2988,????????????)??€??????????????????,1445,507,2609,2315
66112_00_m_1.jpg,2988,2988,????????????)??€??????????????????,331,547,1484,2330
66112_00_m_10.jpg,2988,2988,????????????)??€??????????????????,477,471,1518,2553
66112_00_m_10.jpg,2988,2988,????????????)??€??????????????????,1411,555,2171,2300
66112_00_m_11.jpg,2988,2988,????????????)??€??????????????????,310,526,1499,2487
66112_00_m_11.jpg,2988,2988,????????????)??€??????????????????,1365,576,2341,2300
66112_00_m_13.jpg,2988,2988,????????????)??€??????????????????,1443,556,2583,2321
66112_00_m_13.jpg,2988,2988,????????????)??€??????????????????,327,598,1472,2350
66112_00_m_14.jpg,2988,2988,????????????)??€??????????????????,1454,517,2641,2369
66112_00_m_14.jpg,2988,2988,????????????)??€??????????????????,423,604,1508,2328
66112_00_m_15.jpg,2988,2988,????????????)??€??????????????????,1465,480,2642,2439
66112_00_m_15.jpg,2988,2988,????????????)??€??????????????????,565,599,1667,2309
66112_00_m_16.jpg,2988,2988,????????????)??€??????????????????,1441,435,2510,2511
66112_00_m_16.jpg,2988,2988,????????????)??€??????????????????,724,586,1636,2307
66112_00_m_17.jpg,2988,2988,????????????)??€??????????????????,1399,399,2217,2573
66112_00_m_17.jpg,2988,2988,????????????)??€??????????????????,917,579,1550,2301
66112_00_m_18.jpg,2988,2988,????????????)??€??????????????????,1395,387,1888,2614
66112_00_m_18.jpg,2988,2988,????????????)??€??????????????????,1099,589,1543,2288
66112_00_m_2.jpg,2988,2988,????????????)??€??????????????????,1419,470,2642,2358
66112_00_m_2.jpg,2988,2988,????????????)??€??????????????????,416,546,1497,2316
66112_00_m_20.jpg,2988,2988,????????????)??€??????????????????,1027,407,1559,2623
66112_00_m_20.jpg,2988,2988,????????????)??€??????????????????,1391,567,1729,2260
66112_00_m_21.jpg,2988,2988,????????????)??€??????????????????,715,437,1513,2589
66112_00_m_21.jpg,2988,2988,????????????)??€??????????????????,1383,567,1934,2273
66112_00_m_24.jpg,2988,2988,????????????)??€??????????????????,307,546,1490,2391
66112_00_m_24.jpg,2988,2988,????????????)??€??????????????????,1446,547,2501,2293
66112_00_m_3.jpg,2988,2988,????????????)??€??????????????????,1391,434,2623,2416
66112_00_m_3.jpg,2988,2988,????????????)??€??????????????????,560,546,1522,2306
66112_00_m_4.jpg,2988,2988,????????????)??€??????????????????,1368,401,2508,2483
66112_00_m_4.jpg,2988,2988,????????????)??€??????????????????,743,547,1535,2303
66112_00_m_5.jpg,2988,2988,????????????)??€??????????????????,1350,380,2306,2552
66112_00_m_5.jpg,2988,2988,????????????)??€??????????????????,954,546,1578,2303
66112_00_m_6.jpg,2988,2988,????????????)??€??????????????????,1338,369,2050,2607
66112_00_m_6.jpg,2988,2988,????????????)??€??????????????????,1179,587,1552,2300
66112_00_m_7.jpg,2988,2988,????????????)??€??????????????????,1331,375,1790,2627
66112_00_m_8.jpg,2988,2988,????????????)??€??????????????????,1042,399,1619,2626
66112_00_m_8.jpg,2988,2988,????????????)??€??????????????????,1406,550,1783,2282
66112_00_s_1.jpg,2988,2988,????????????)??€??????????????????,760,357,2146,2520
66112_00_s_10.jpg,2988,2988,????????????)??€??????????????????,957,311,2024,2659
66112_00_s_11.jpg,2988,2988,????????????)??€??????????????????,832,332,2117,2635
66112_00_s_12.jpg,2988,2988,????????????)??€??????????????????,758,358,2169,2604
66112_00_s_13.jpg,2988,2988,????????????)??€??????????????????,730,338,2174,2577
66112_00_s_15.jpg,2988,2988,????????????)??€??????????????????,769,293,2075,2603
66112_00_s_16.jpg,2988,2988,????????????)??€??????????????????,852,279,1967,2639
66112_00_s_18.jpg,2988,2988,????????????)??€??????????????????,1104,267,1686,2686
66112_00_s_19.jpg,2988,2988,????????????)??€??????????????????,1162,270,1593,2692
66112_00_s_2.jpg,2988,2988,????????????)??€??????????????????,815,332,2192,2532
66112_00_s_20.jpg,2988,2988,????????????)??€??????????????????,1076,285,1651,2684
66112_00_s_23.jpg,2988,2988,????????????)??€??????????????????,742,347,1976,2595
66112_00_s_24.jpg,2988,2988,????????????)??€??????????????????,735,372,2080,2551
66112_00_s_3.jpg,2988,2988,????????????)??€??????????????????,906,311,2198,2565
66112_00_s_4.jpg,2988,2988,????????????)??€??????????????????,1028,290,2150,2605
66112_00_s_6.jpg,2988,2988,????????????)??€??????????????????,1324,269,1894,2670
66112_00_s_7.jpg,2988,2988,????????????)??€??????????????????,1397,270,1840,2687
66112_00_s_8.jpg,2988,2988,????????????)??€??????????????????,1311,280,1820,2691
66112_00_s_9.jpg,2988,2988,????????????)??€??????????????????,1128,293,1901,2682
66112_30_m_10.jpg,2988,2988,????????????)??€??????????????????,274,554,1402,2488
66112_30_m_10.jpg,2988,2988,????????????)??€??????????????????,1371,329,2160,2009
66112_30_m_11.jpg,2988,2988,????????????)??€??????????????????,192,542,1400,2348
66112_30_m_11.jpg,2988,2988,????????????)??€??????????????????,1383,378,2344,2015
66112_30_m_12.jpg,2988,2988,????????????)??€??????????????????,1396,440,2490,2028
66112_30_m_12.jpg,2988,2988,????????????)??€??????????????????,204,537,1399,2205
66112_30_m_13.jpg,2988,2988,????????????)??€??????????????????,1402,519,2588,2084
66112_30_m_13.jpg,2988,2988,????????????)??€??????????????????,290,518,1409,2093
66112_30_m_14.jpg,2988,2988,????????????)??€??????????????????,1413,530,2624,2200
66112_30_m_14.jpg,2988,2988,????????????)??€??????????????????,410,440,1425,2041
66112_30_m_15.jpg,2988,2988,????????????)??€??????????????????,1394,529,2573,2340
66112_30_m_15.jpg,2988,2988,????????????)??€??????????????????,570,384,1459,2014
66112_30_m_16.jpg,2988,2988,????????????)??€??????????????????,1398,528,2416,2491
66112_30_m_16.jpg,2988,2988,????????????)??€??????????????????,768,339,1537,2008
66112_30_m_17.jpg,2988,2988,????????????)??€??????????????????,1399,532,2163,2615
66112_30_m_17.jpg,2988,2988,????????????)??€??????????????????,991,309,1571,2005
66112_30_m_19.jpg,2988,2988,????????????)??€??????????????????,1297,539,1634,2737
66112_30_m_2.jpg,2988,2988,????????????)??€??????????????????,369,484,1442,2104
66112_30_m_2.jpg,2988,2988,????????????)??€??????????????????,1382,638,2640,2281
66112_30_m_20.jpg,2988,2988,????????????)??€??????????????????,973,542,1554,2712
66112_30_m_20.jpg,2988,2988,????????????)??€??????????????????,1438,301,1863,1964
66112_30_m_22.jpg,2988,2988,????????????)??€??????????????????,435,552,1475,2516
66112_30_m_22.jpg,2988,2988,????????????)??€??????????????????,1447,380,2310,2024
66112_30_m_23.jpg,2988,2988,????????????)??€??????????????????,294,556,1459,2371
66112_30_m_23.jpg,2988,2988,????????????)??€??????????????????,1447,435,2484,2030
66112_30_m_24.jpg,2988,2988,????????????)??€??????????????????,236,557,1442,2239
66112_30_m_24.jpg,2988,2988,????????????)??€??????????????????,1446,516,2612,2081
66112_30_m_3.jpg,2988,2988,????????????)??€??????????????????,1335,635,2538,2409
66112_30_m_3.jpg,2988,2988,????????????)??€??????????????????,527,417,1441,2075
66112_30_m_4.jpg,2988,2988,????????????)??€??????????????????,718,365,1435,2064
66112_30_m_4.jpg,2988,2988,????????????)??€??????????????????,1293,630,2361,2553
66112_30_m_5.jpg,2988,2988,????????????)??€??????????????????,934,326,1425,2055
66112_30_m_5.jpg,2988,2988,????????????)??€??????????????????,1273,625,2092,2668
66112_30_m_6.jpg,2988,2988,????????????)??€??????????????????,1246,604,1777,2742
66112_30_m_6.jpg,2988,2988,????????????)??€??????????????????,1154,298,1454,2042
66112_30_m_7.jpg,2988,2988,????????????)??€??????????????????,1107,590,1540,2753
66112_30_m_7.jpg,2988,2988,????????????)??€??????????????????,1370,286,1536,1737
66112_30_m_8.jpg,2988,2988,????????????)??€??????????????????,749,582,1455,2717
66112_30_m_8.jpg,2988,2988,????????????)??€??????????????????,1367,286,1720,2002
66112_30_m_9.jpg,2988,2988,????????????)??€??????????????????,459,567,1403,2617
66112_30_m_9.jpg,2988,2988,????????????)??€??????????????????,1367,304,1942,2013
66112_30_s_1.jpg,2988,2988,????????????)??€??????????????????,561,509,2299,2588
66112_30_s_10.jpg,2988,2988,????????????)??€??????????????????,464,209,1853,2738
66112_30_s_11.jpg,2988,2988,????????????)??€??????????????????,439,229,1978,2648
66112_30_s_12.jpg,2988,2988,????????????)??€??????????????????,474,264,2076,2552
66112_30_s_13.jpg,2988,2988,????????????)??€??????????????????,548,300,2142,2500
66112_30_s_16.jpg,2988,2988,????????????)??€??????????????????,880,166,2231,2677
66112_30_s_18.jpg,2988,2988,????????????)??€??????????????????,1187,146,1994,2802
66112_30_s_19.jpg,2988,2988,????????????)??€??????????????????,1257,156,1789,2820
66112_30_s_2.jpg,2988,2988,????????????)??€??????????????????,530,494,2243,2650
66112_30_s_21.jpg,2988,2988,????????????)??€??????????????????,1019,226,2093,2779
66112_30_s_4.jpg,2988,2988,????????????)??€??????????????????,620,359,2022,2798
66112_30_s_5.jpg,2988,2988,????????????)??€??????????????????,738,300,1828,2869
66112_30_s_6.jpg,2988,2988,????????????)??€??????????????????,896,258,1671,2915
66112_30_s_7.jpg,2988,2988,????????????)??€??????????????????,953,217,1566,2909
66112_30_s_8.jpg,2988,2988,????????????)??€??????????????????,729,203,1592,2888
66112_30_s_9.jpg,2988,2988,????????????)??€??????????????????,564,199,1702,2828
66112_60_m_11.jpg,2988,2988,????????????)??€??????????????????,1484,738,2559,1939
66112_60_m_11.jpg,2988,2988,????????????)??€??????????????????,450,1243,1537,2407
66112_60_m_12.jpg,2988,2988,????????????)??€??????????????????,1474,976,2693,1963
66112_60_m_12.jpg,2988,2988,????????????)??€??????????????????,281,1257,1506,2228
66112_60_m_14.jpg,2988,2988,????????????)??€??????????????????,215,1118,1444,1968
